Date,Open,High,Low,Close,Volume
2020-01-02,1.65,1.65,1.65,1.65,193574
2020-01-03,1.7,1.7,1.7,1.7,387130
2020-01-06,1.75,1.75,1.75,1.75,801476
2020-01-07,1.8,1.8,1.8,1.8,1275176
2020-01-08,1.8,1.8,1.75,1.75,2004019
2020-01-09,1.7,1.75,1.7,1.7,4540098
2020-01-10,1.65,1.75,1.65,1.75,2842565
2020-01-13,1.8,1.8,1.8,1.8,358663
2020-01-14,1.85,1.85,1.85,1.85,233675
2020-01-15,1.9,1.9,1.9,1.9,391330
2020-01-16,1.95,1.95,1.95,1.95,240410
2020-01-17,2.0,2.0,2.0,2.0,299688
2020-01-20,2.1,2.1,2.05,2.1,4903195
2020-01-21,2.2,2.2,2.0,2.05,15769867
2020-01-22,2.0,2.05,1.95,1.95,5532807
2020-01-23,1.95,2.0,1.9,1.95,8833225
2020-01-24,1.95,1.95,1.9,1.9,5359512
2020-01-27,1.9,1.95,1.85,1.95,2887872
2020-01-28,2.0,2.0,1.9,2.0,4979275
2020-01-29,2.1,2.1,2.05,2.1,1100342
2020-01-30,2.2,2.2,2.1,2.2,7922601
2020-01-31,2.3,2.3,2.25,2.3,2447651
2020-02-03,2.2,2.2,2.1,2.1,2592914
2020-02-04,2.0,2.1,2.0,2.0,2996127
2020-02-05,1.95,2.0,1.9,1.9,3377378
2020-02-06,1.85,1.95,1.85,1.9,2160362
2020-02-07,1.95,1.95,1.9,1.95,2139634
2020-02-10,1.95,2.0,1.9,1.9,2018574
2020-02-11,1.9,1.9,1.85,1.85,1079187
2020-02-12,1.8,1.9,1.8,1.8,5985048
2020-02-13,1.75,1.75,1.75,1.75,469627
2020-02-14,1.7,1.75,1.7,1.7,1533326
2020-02-17,1.65,1.65,1.65,1.65,200272
2020-02-18,1.6,1.6,1.6,1.6,333138
2020-02-19,1.55,1.55,1.55,1.55,574460
2020-02-20,1.5,1.5,1.5,1.5,295102
2020-02-24,1.45,1.45,1.45,1.45,299318
2020-02-25,1.4,1.4,1.4,1.4,327664
2020-02-26,1.35,1.35,1.35,1.35,498628
2020-02-27,1.3,1.3,1.3,1.3,1305084
2020-02-28,1.25,1.25,1.25,1.25,238481
2020-03-02,1.2,1.2,1.2,1.2,678491
2020-03-03,1.15,1.15,1.15,1.15,283011
